ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
d40f2b80-2e98-47cb-9c3a-dfb158e8a77a,1982-11-11,,999-40-4040,S99940404,,Mr.,Carlos,Ramirez,"married",hispanic,puertorican,M,Revere MA US,104 Vine St Revere MA 02151 US  
e51e85be-68fa-4125-b841-328d5195ea25,1996-06-06,,999-50-5050,S99950505,,Ms.,Ava,Nguyen,"single",asian,vietnamese,F,Malden MA US,105 Linden St Malden MA 02148 US  
f61e29d6-01c6-44d5-9c29-b2a40fcb2e93,1979-02-17,,999-60-6060,S99960606,,Dr.,Henry,Foster,"married",black,haitian,M,Springfield MA US,106 Birch St Springfield MA 01104 US  
07fd8299-08de-4709-8ef8-c1315b3c9fd3,1988-09-25,,999-70-7070,S99970707,,Mr.,Luca,Bianchi,"single",white,italian,M,Peabody MA US,107 Chestnut St Peabody MA 01960 US  
182ab1e1-b4cb-4d21-9024-14f647c7ec92,2000-04-30,,999-80-8080,S99980808,,Ms.,Zoe,Clark,"single",white,irish,F,Melrose MA US,108 Ash St Melrose MA 02176 US  
3a17a7e4-6d90-4ef7-acc7-8e195c947008,1993-07-12,,999-90-9090,S99990909,,Mr.,Ethan,Kim,"single",asian,korean,M,Medford MA US,109 Willow St Medford MA 02155 US  
51c0ecb6-7982-4f13-8326-f8ea493d94f9,1985-12-03,,999-01-0101,S99901010,,Mrs.,Rachel,Turner,"married",black,africanamerican,F,Boston MA US,110 Maple Ave Boston MA 02115 US  
d7bc8731-79e2-4e63-bc70-5f3c0080fa56,1970-10-20,,999-02-0202,S99902020,,Mr.,George,Harrison,"widowed",white,english,M,Waltham MA US,111 Lincoln St Waltham MA 02452 US  
c8f0abf6-d60d-4eb3-82cd-df4fd4bb41a9,1978-01-05,,999-03-0303,S99903030,,Ms.,Jessica,Lewis,"divorced",white,german,F,Brookline MA US,112 River Rd Brookline MA 02446 US  
b69d47ee-5e94-496e-82de-e783e40de230,1981-03-27,,999-04-0404,S99904040,,Mrs.,Mei,Chen,"married",asian,chinese,F,Arlington MA US,113 Forest St Arlington MA 02474 US  
a7f021f5-1f58-4a4b-bb42-d771ee713741,1999-06-01,,999-05-0505,S99905050,,Mr.,Logan,Reyes,"single",hispanic,dominican,M,Lawrence MA US,114 Park Ave Lawrence MA 01840 US  
15f96ea0-7f2a-4ef5-bf42-77b92f26d816,1977-08-23,,999-06-0606,S99906060,,Dr.,Benjamin,White,"married",white,canadian,M,Attleboro MA US,115 Summit St Attleboro MA 02703 US  
04ab9b17-0f58-4a4b-8140-56110f0f7d18,1969-04-17,,999-07-0707,S99907070,,Mr.,Ronald,Young,"divorced",white,polish,M,Haverhill MA US,116 Grove St Haverhill MA 01830 US  
e3db1a41-d178-41ae-a9a3-d038374f775b,1987-11-15,,999-08-0808,S99908080,,Ms.,Sophia,Baker,"single",black,nigerian,F,Chelsea MA US,117 High St Chelsea MA 02150 US  
f248de6b-7a11-4dc0-8ff8-e35b86de7853,1994-01-28,,999-09-0909,S99909090,,Mrs.,Chloe,Scott,"married",white,swedish,F,Everett MA US,118 Main St Everett MA 02149 US  
f3b6e189-2e25-4d1e-9084-5c612b37a2d7,1979-08-12,,999-30-3030,S99930303,,Dr.,Ava,Nguyen,"single",asian,vietnamese,F,Worcester MA US,77 Lake Ave Worcester MA 01604 US
a4d7f7e3-91d0-48a5-8de6-4cfcf624bfcb,1983-04-28,,999-40-4040,S99940404,,Mr.,Liam,O'Connor,"divorced",white,irish,M,Lowell MA US,15 Market St Lowell MA 01852 US
